2 1 60 1 1 0 233
2 0 52 1 0 0 470
2 0 64 1 0 0 530
3 1 85 1 1 0 755
3 1 90 1 1 1 473
3 1 128 1 0 0 480
2 0 80,92 0 0 0 535
2 0 46,87 1 0 1 290
2 1 53,5 1 1 0 300
4 4 409 6 1 1 1894
3 1 370 3 1 0 1160
3 3 282 4 1 1 1700
3 3 190 2 1 1 800
4 3 147 2 1 1 600
3 2 236 2 1 0 1200
3 3 147 3 1 1 600
3 1 127 3 1 0 550
3 1 90 2 1 1 580
4 2 107 2 1 1 553
2 1 64 1 1 0 490
2 1 58 1 1 1 340
2 1 53,82 1 1 0 390
3 3 129,15 2 1 1 600
3 1 93 2 1 0 660
4 3 183 4 1 1 900
3 0 72,16 1 0 1 300
4 3 147 2 1 1 700
2 0 56 1 1 0 300
2 1 62,62 1 1 0 300
3 3 182,73 3 1 1 900
3 2 135 2 1 0 500
4 2 172 2 1 1 980
2 0 55 1 0 0 310
3 1 125 2 1 1 447
3 3 147 2 1 1 550
2 0 51 1 0 0 290
2 1 75 2 1 0 320
4 2 99,13 2 1 0 500
2 0 54 1 1 0 345
3 1 94 2 1 1 525
2 0 70 1 1 0 420
3 1 81 1 1 1 387
2 1 60 2 1 0 170
3 1 98 2 1 1 535
4 1 116 2 1 1 680
2 0 47 1 0 1 300
3 1 78 2 1 1 366
3 1 63 1 0 0 360
3 1 92 1 1 1 440
4 1 122 2 1 1 536
2 0 49 1 0 0 360
2 1 60 1 1 0 165
3 1 85 1 1 0 400
4 2 300 4 1 1 2500
3 1 77 2 1 0 275
2 1 70 1 1 1 350
2 1 52 1 1 0 260
3 1 78 2 0 0 500
3 1 85 2 1 0 390
2 0 55 1 0 0 310
2 1 60 1 1 1 230
2 0 40 0 0 0 200
2 0 49 1 1 1 300
3 1 90 2 1 1 720
4 3 182 3 1 1 750
3 1 75 1 1 1 305
3 3 147 2 1 1 575
2 0 53 1 1 1 300
1 1 64 1 1 1 417
2 1 67 2 1 1 250
4 4 187 3 1 1 700
3 1 71 1 0 1 298
3 1 65 1 1 1 450
2 1 74 2 1 1 450
3 1 82 1 1 1 340
3 1 75 1 1 1 300
3 1 120 2 1 1 745
2 0 53 1 1 1 200
2 1 57 1 1 1 200
3 3 194 2 1 1 800
2 1 67 2 1 1 387
3 1 87,5 2 1 1 380
2 1 64 1 0 0 365
2 1 60,37 1 1 0 300
3 1 86,56 2 1 1 350
3 1 103 3 1 1 550
3 1 115 2 1 1 567
1 0 44,5 1 0 0 410
2 1 75 2 0 0 320
2 0 54 1 1 1 580
2 1 63,79 1 0 0 293
4 2 99,13 2 0 0 500
2 1 64 2 0 0 350
2 1 65 2 1 1 550
3 1 74 2 1 0 380
2 1 57 1 0 0 250
3 1 83 1 0 1 486
3 1 99 2 1 1 470
3 1 125 2 1 1 600
3 1 87,5 2 1 1 350
4 1 103 2 1 1 710
3 1 60 1 0 0 295
2 0 49 1 0 0 225
2 0 57 1 1 0 300
2 1 48 1 0 0 200
2 1 50 1 0 0 200
2 1 50 1 1 1 255
2 1 56 1 1 1 290
2 1 57 1 1 1 250
2 1 59 1 1 1 300
3 1 60 1 1 1 340
3 1 60 1 1 1 320
2 1 70 2 1 1 322
2 1 57 1 1 1 200
3 1 60 1 1 1 277
3 1 60 2 1 1 300
1 1 47 1 1 1 360
3 1 59 1 0 0 270
2 1 60 1 1 0 336
2 0 60 1 1 0 380
